BLSE/SMU24000005051700001,"All Employees, In Thousands; Telecommunications - Maryland"
BLSE/SMU51000000700000001,"All Employees, In Thousands; Service-Providing - Virginia"
BLSE/BDU0000000000000000110004RQ5,Employment; Gross Job Losses; All industries; Rate (Percent) - National
BLSE/BDU0000000000000000110005RQ5,Employment; Contractions; All industries; Rate (Percent) - National
BLSE/CEU0000000001,"Employment - All employees, thousands; Total nonfarm industry"
BLSE/CES0600000001,"Employment - All employees, thousands; Goods-producing industry"
BLSE/BDS0000000000000000110005RQ5,Employment; Contractions; All industries; Rate (Percent) - National
BLSE/BDS0000000000000000110003RQ5,Employment; Openings; All industries; Rate (Percent) - National
BLSE/CES9000000001,"Employment - All employees, thousands; Government industry"
BLSE/CES0500000025,"Employment - All employees, quarterly averages, seasonally adjusted, thousands; Total private industry"
BLSE/CES0000000025,"Employment - All employees, quarterly averages, seasonally adjusted, thousands; Total nonfarm industry"
BLSE/CES0700000001,"Employment - All employees, thousands; Service-providing industry"
BLSE/CES0700000010,"Employment - Women employees, thousands; Service-providing industry"
BLSE/CES0700000025,"Employment - All employees, quarterly averages, seasonally adjusted, thousands; Service-providing industry"
BLSE/CEU0700000001,"Employment - All employees, thousands; Service-providing industry"
BLSE/BDS0000000000000000110006RQ5,Employment; Closings; All industries; Rate (Percent) - National
BLSE/BDS0000000000000000110002RQ5,Employment; Expansions; All industries; Rate (Percent) - National
BLSE/BDU0000000000000000110002RQ5,Employment; Expansions; All industries; Rate (Percent) - National
BLSE/BDS0000000000000000110001RQ5,Employment; Gross Job Gains; All industries; Rate (Percent) - National
BLSE/CEU9000000001,"Employment - All employees, thousands; Government industry"
BLSE/BDU0000000000000000110003RQ5,Employment; Openings; All industries; Rate (Percent) - National
BLSE/CEU0500000001,"Employment - All employees, thousands; Total private industry"
BLSE/BDU0000000000000000110001RQ5,Employment; Gross Job Gains; All industries; Rate (Percent) - National
BLSE/CEU9000000010,"Employment - Women employees, thousands; Government industry"
BLSE/JTS00000000HIR,Hires for Total nonfarm in Total US Region
BLSE/CES0500000010,"Employment - Women employees, thousands; Total private industry"
BLSE/CES0000000010,"Employment - Women employees, thousands; Total nonfarm industry"
BLSE/CEU0600000001,"Employment - All employees, thousands; Goods-producing industry"
BLSE/CES0500000001,"Employment - All employees, thousands; Total private industry"
BLSE/BDU0000000000000000110006RQ5,Employment; Closings; All industries; Rate (Percent) - National
BLSE/CES0600000010,"Employment - Women employees, thousands; Goods-producing industry"
BLSE/BDS0000000000000000110004RQ5,Employment; Gross Job Losses; All industries; Rate (Percent) - National
BLSE/CES0600000025,"Employment - All employees, quarterly averages, seasonally adjusted, thousands; Goods-producing industry"
